row,dp_n,dp_e,dp_d,du,dv,dw,dtheta_x,dtheta_y,dtheta_z,dp_rate,dq_rate,dr_rate
dp_n,0,0,0,0.99680844378724487,1.319300224622566e-05,0.07983064875816126,-2.6330937430429913e-05,5.3290705182007514e-08,0.00032881608547086216,0,0,0
dp_e,0,0,0,-2.7105054312137611e-14,0.99999998634051357,-0.00016528456489757481,-1.9957661939778353,0.0041189262358384653,24.920210677769148,0,0,0
dp_d,0,0,0,-0.079830647814471689,0.00016475709685437323,0.9968084272449218,-0.00032881669609352571,-24.999999660768601,0.0041057806043909295,0,0,0
du,0,0,0,-0.1411003129974191,0,0.50026921601160956,-6.5790994051861127e-11,-9.7753513625459885,0.001615714771850839,0,-1.9701663292552529,-1.5361097901550433e-12
dv,0,0,0,-0.00012884464572934692,-0.23321999116797543,-1.0318684307214704e-05,9.7753513625770836,2.5699607051508212e-13,0.78287122191492453,1.9730272721004076,0,-24.806516272476404
dw,0,0,0,-0.54730584666786952,0,-2.9621332857830027,-0.0016157141797318926,-0.782871222992509,-1.052655904829778e-09,1.5361097901550433e-12,24.60055699126853,0
dtheta_x,0,0,0,0,0,0,0,0,0,1,0,0
dtheta_y,0,0,0,0,0,0,0,0,0,0,1,0
dtheta_z,0,0,0,0,0,0,0,0,0,0,0,1
dp_rate,0,0,0,0.019777710790461464,-1.8767742910128142,0.0015839226624107948,0,0,0,-17.091252951622121,0,3.7798462400453907
dq_rate,0,0,0,0.13286928319886163,0,-1.6590773667987717,0,0,0,0,-2.6352831601713893,0
dr_rate,0,0,0,0.0013492468987239352,0.75618601829326415,0.00010805612250670692,0,0,0,-2.0734648003099285,0,-0.64962631082721101
