integrator,control_parameter,dt_or_rtol,state_error,position_error_m,attitude_error_rad,function_evals,wall_clock_s,accepted_steps,rejected_steps
0,0,0.05,0.00175253979,0.00607061323,2.64217373e-05,1600,0.000519939,400,0
0,0,0.02,3.93700774e-05,0.000136374194,6.00873838e-07,4000,0.001364601,1000,0
0,0,0.01,2.36904751e-06,8.20616455e-06,3.62685048e-08,8000,0.001569193,2000,0
0,0,0.005,1.45353312e-07,5.03490931e-07,2.22846781e-09,16000,0.003102961,4000,0
0,0,0.002,3.68056474e-09,1.27491528e-08,5.64774062e-11,40000,0.007905988,10000,0
0,0,0.001,2.27146883e-10,7.86817356e-10,3.47665972e-12,80000,0.015477809,20000,0
0,0,0.0001,3.35139643e-06,1.15443569e-05,1.16082191e-07,3227,0.000684135,461,0
0,0,1e-06,3.23087184e-07,1.11889297e-06,2.42519511e-09,4312,0.00092649,616,0
0,0,1e-08,2.56080682e-09,8.8674119e-09,1.80856594e-11,8435,0.001836805,1197,8
0,0,1e-10,2.26561729e-11,7.84615316e-11,0,19663,0.004490728,2780,29
