airspeed_mps,alpha_deg,theta_deg,elevator_deg,throttle,residual_inf,converged,short_period_wn,short_period_zeta,phugoid_wn,phugoid_zeta,dutch_roll_wn,dutch_roll_zeta,roll_subsidence,spiral
16,14.2629482,15.0963259,-8.66610383,0.613246624,1.45765279,0,0,0,0,0,0,0,0,0
17,14.2464229,14.4734334,-8.97684744,0.575112697,0.467173726,0,0,0,0,0,0,0,0,0
18,12.2969708,12.2969707,-7.54574545,0.552631401,2.9784622e-14,1,4.96705185,0.37200874,0.709501976,0.0741249189,3.73252231,0.150849302,-11.8645093,0.0492546279
19,10.5495489,10.5495489,-6.14780798,0.563210622,1.28733246e-13,1,5.3055414,0.396857811,0.665340268,0.081087171,3.93043547,0.143027121,-12.5829521,0.0469544194
20,9.16058974,9.16058967,-5.03664061,0.577455861,4.56663081e-13,1,5.59475982,0.400656764,0.631694347,0.0901416807,4.12708379,0.136945338,-13.2937622,0.0448526087
21,7.97831218,7.97831211,-4.09081856,0.593667893,2.10531181e-15,1,5.87578847,0.401140334,0.602076364,0.0997883355,4.32320719,0.13181481,-14.0014386,0.0429206694
22,6.95436636,6.95436629,-3.27166191,0.611339206,2.542957e-15,1,6.1549971,0.400946429,0.575263477,0.109856343,4.51904765,0.12739619,-14.706928,0.0411395375
23,6.05989877,6.05989871,-2.55608784,0.630176341,7.89664055e-15,1,6.43379572,0.400630625,0.550768277,0.120325793,4.71474092,0.123552188,-15.4106314,0.0394932405
24,5.27364646,5.2736464,-1.92708599,0.649966194,2.27584194e-14,1,6.71254668,0.400324469,0.528282158,0.131200119,4.91037539,0.120184163,-16.1128045,0.0379678958
25,4.5788315,4.57883143,-1.37123402,0.670542576,6.14443916e-14,1,6.99134674,0.400057059,0.507566249,0.142485372,5.10601083,0.117215595,-16.8136424,0.0365513365
26,3.96186678,3.96186671,-0.87766224,0.691772645,1.5650602e-13,1,7.27021741,0.399830623,0.48842214,0.154186628,5.30168778,0.114585297,-17.5133052,0.0352328679
27,3.41160346,3.4116034,-0.437451587,0.713549023,3.78219082e-13,1,7.54915786,0.399640557,0.47068074,0.166307598,5.49743343,0.11224355,-18.2119274,0.0340030697
28,2.91881217,2.91881211,-0.0432185533,0.735784308,8.71237686e-13,1,7.82816097,0.399481116,0.454196277,0.178850825,5.69326554,0.110149524,-18.9096238,0.0328536267
29,2.47568336,2.4756833,0.311284493,0.759025196,2.10531181e-15,1,8.10724611,0.399354715,0.43883669,0.192154452,5.889195,0.108268837,-19.6064997,0.0317771777
30,2.0759098,2.07590974,0.631103343,0.782659583,2.69403563e-15,1,8.38638068,0.399249377,0.424498213,0.205939414,6.08522835,0.106573998,-20.3026321,0.0307672083
31,1.71404969,1.71404964,0.920591427,0.806557079,6.27240869e-15,1,8.6655543,0.399160463,0.411084714,0.220162357,6.28136862,0.10504133,-20.9980944,0.0298179222
32,1.38547156,1.38547151,1.18345393,0.830678158,1.40428629e-14,1,8.94476127,0.39908508,0.398510941,0.234823128,6.47761646,0.103650752,-21.6929516,0.0289241541
33,1.08622717,1.08622714,1.42284944,0.854990017,3.03136567e-14,1,9.22399679,0.399020889,0.386701677,0.249921256,6.67397082,0.102385204,-22.3872606,0.0280812907
34,0.812934709,0.812934677,1.64148341,0.879465313,4.61696864e-15,1,9.50325685,0.398965997,0.375590329,0.265456013,6.87042952,0.101230115,-23.0810714,0.0272852019
