time_s,n,cross_track_p05,cross_track_p50,cross_track_p95,cross_track_min,cross_track_max,altitude_error_p05,altitude_error_p50,altitude_error_p95,altitude_p05,altitude_p50,altitude_p95,est_pos_error_p50,est_pos_error_p95
0,64,-2.32452212,-0.03097352,2.21364941,-3.02892117,2.68719824,-17.0864842,-0.389677569,12.8499586,102.913516,119.641337,132.870516,2.38236274,3.8493501
1,64,-11.1855418,0.934091249,12.7186375,-20.2330137,22.2217619,-18.1713116,-1.30385661,11.2299459,103.027535,119.892629,132.02475,1.16668057,2.38774383
2,64,-16.5187072,0.739985216,21.6870837,-33.6123966,38.2688252,-14.3335862,-1.61295461,6.97534276,107.307932,120.816014,128.575371,0.994108666,1.89722081
3,64,-15.4539864,0.198331255,22.4367434,-38.4745606,50.3062505,-10.4826181,-1.39765167,1.05212322,111.935989,122.163874,125.233759,0.804685072,1.4598919
4,64,-9.43692506,-0.0603355586,16.2037345,-36.5840943,56.7853487,-6.90326304,-0.679839047,1.10737344,116.372399,124.294837,126.126158,0.654982186,1.12617819
5,64,-6.57369768,-0.480731864,7.64565577,-30.0293053,57.5486636,-3.64933481,-0.513567194,1.14650452,120.758172,125.622961,127.798999,0.694623189,1.13509316
6,64,-9.07215117,-0.0567429362,6.43002074,-19.1645835,51.0674096,-3.39263153,-0.35224836,0.835989915,123.184127,127.034756,129.26837,0.584171198,1.19931402
7,64,-10.1418581,-0.135305401,9.52743606,-11.7845841,37.4743589,-2.5046119,-0.160057735,1.19140351,125.267468,128.538171,131.048499,0.626327297,1.00729321
8,64,-5.94209459,-0.119605236,8.7951136,-7.39575655,21.3581563,-1.49031232,-0.011439866,1.00514836,126.614779,129.901068,132.88427,0.58790984,1.07334575
9,64,-2.10338265,0.114568898,3.31763349,-3.49994894,17.2042467,-1.18533753,-0.00588474655,1.10041727,127.400537,131.198744,134.743658,0.601908954,1.30317732
10,64,-3.84955981,0.242402992,4.6054495,-11.8640012,9.5272612,-1.02761296,-0.130636994,1.03442897,128.413992,132.343945,136.335591,0.533410356,1.33455946
11,64,-4.11237125,0.0458866049,5.23280299,-14.7838837,8.8921117,-1.19101111,-0.0898197805,0.822559101,129.286823,133.556128,137.908934,0.573063507,1.38335927
12,64,-5.66223747,0.00199331864,4.26970157,-11.5570091,6.10043175,-0.968913584,-0.152544129,0.76504478,130.026883,134.877879,139.41657,0.630316327,1.45138529
13,64,-3.3876794,-0.106310486,1.68393459,-12.1589683,2.10726305,-1.00713127,-0.171479041,0.849319413,131.25636,135.946528,140.914922,0.598860808,1.37282196
14,64,-2.60795114,-0.111483551,2.27071626,-10.3319171,4.95086334,-0.935240172,-0.110322941,0.805921705,132.072853,137.28752,142.384002,0.596531073,1.41194389
15,64,-4.24707458,-0.103140492,2.60953885,-7.74275689,10.4170555,-1.08391912,-0.127560597,0.687152965,132.716228,138.488291,143.987075,0.644105226,1.46500511
16,64,-3.67508458,0.00316354134,2.82387546,-5.94487608,10.5858322,-1.01881188,-0.121037471,0.801545134,133.668487,139.96849,145.709485,0.614033372,1.50060385
17,64,-1.9688843,0.109895844,2.91251674,-2.67110315,27.8175724,-1.13052158,-0.139018125,0.861065135,134.650314,141.221838,147.444377,0.603340785,1.29971542
18,64,-1.40013128,0.0787899674,11.5181676,-2.08512625,30.8614671,-0.981183107,-0.101905297,0.723664596,135.721518,142.437082,149.147618,0.687100961,1.37881015
19,64,-4.74013576,0.0275289567,21.9613918,-20.4724055,36.3664973,-2.20064559,0.0290846882,1.40493621,136.68419,143.533408,151.374032,0.66456357,1.38878902
20,64,-25.3522936,-0.0115990094,28.465986,-36.8026215,38.0780542,-1.19769938,-0.130823435,1.36232843,137.570592,144.803913,151.362328,0.70696486,1.39901832
21,64,-36.4263458,-0.0712703825,21.2317279,-53.7515603,37.2578398,-1.2240727,-0.00752913829,1.28927854,138.430148,146.176354,151.289279,0.738266444,1.50079035
22,64,-41.0364113,-0.12153374,25.3185626,-66.0723377,37.8460103,-1.35743707,0.188785597,1.51966159,139.487825,147.361655,151.519662,0.763193649,1.50314369
23,64,-46.9639935,-0.119222354,26.2371788,-69.7983318,33.007444,-1.59752594,0.0558355345,1.58797914,140.524171,148.575,151.587979,0.698847365,1.61854586
24,64,-53.7125913,-0.389923415,24.8639782,-65.7058556,38.2879549,-1.37256909,0.302170418,1.48525123,141.241328,149.674709,151.485251,0.77147933,1.63137433
25,64,-52.7610271,-11.2027925,19.0216463,-71.7981322,27.6672816,-0.950717941,0.20660543,1.35704802,142.142613,150.121331,151.357048,0.819427888,1.66054283
26,64,-44.5246166,-15.4890096,21.1150526,-77.5900509,35.3203348,-1.05756662,0.334330018,1.42673828,142.905215,150.259147,151.426738,0.840663515,1.76629248
27,64,-32.4608637,-12.2789059,12.2763577,-76.0031683,34.8882598,-0.937581788,0.29429954,1.44440015,143.754937,150.187978,151.4444,0.811481651,1.76325221
28,64,-29.6604358,-4.65098775,12.5163176,-67.2088255,38.2648279,-1.3811007,0.217492267,1.57178833,144.825431,150.159898,151.508836,0.862676073,1.83865616
29,64,-24.7526178,-0.445472119,21.869114,-52.2672913,38.3663419,-1.68772287,0.26493947,1.2642595,145.660456,150.22982,151.26426,0.896630234,1.9429776
30,64,-14.0750071,1.09878421,21.163461,-33.7702736,31.8783777,-0.892883621,0.331022815,1.45993757,146.27449,150.331023,151.459938,0.876384652,1.97568372
31,64,-11.1684099,3.07216639,24.4806699,-22.5530421,36.0039943,-1.40688237,0.344302818,1.32175393,147.224504,150.344303,151.321754,0.862624038,2.08144077
32,64,-11.1678667,5.64486466,23.0339505,-22.991825,35.6383723,-1.1853234,0.277432256,1.30173151,148.668252,150.277432,151.301732,0.849855528,2.04698289
33,64,-10.5672494,4.92629515,19.2844444,-17.545435,31.0267491,-0.912111098,0.277772823,1.20410627,148.768606,150.277773,151.204106,0.906872716,2.0833987
34,64,-7.79437753,1.20709003,22.6852031,-11.6922823,36.0202543,-0.766308668,0.386353763,1.04648992,149.219311,150.386354,151.04649,0.909528715,2.19169051
35,64,-13.0249561,-1.3323632,14.1797179,-14.7086206,34.1937138,-0.366126284,0.26563333,1.02973825,149.527114,150.265633,151.029738,0.943960977,2.30887133
36,64,-15.7976363,-1.19550832,13.4031471,-18.7550787,30.9165772,-0.613894933,0.217348082,1.057373,149.386105,150.217348,151.057373,0.946459474,2.24113287
37,64,-14.6850097,-2.08070445,10.6093266,-32.0787591,19.5018905,-0.597116593,0.216085112,1.02712423,149.402883,150.216085,151.027124,0.962113777,2.15992887
38,64,-9.83739177,-0.741939428,8.19826094,-65.0096753,11.6170862,-0.642856208,0.24046183,1.17909712,149.357144,150.240462,151.179097,0.935084504,2.2953855
39,64,-13.8826876,0.815138354,36.6007575,-93.4550078,41.0120751,-0.770657325,0.126599058,1.20189781,149.229343,150.126599,151.137381,0.985754616,2.18093685
40,64,-10.0043488,1.13180231,13.2399712,-115.763217,28.6762077,-1.00285573,0.101722813,1.71015785,148.939553,150.042746,150.957125,0.947563056,1.99667371
41,64,-14.8847405,0.698671118,5.78356938,-131.598124,29.6977377,-1.18876293,0.0553803526,1.77543466,148.2056,149.939215,150.97812,0.946636316,2.01281854
42,64,-36.0150818,0.649993927,13.7392241,-139.904357,40.3347925,-1.02449498,0.0352675668,1.54262895,145.965782,149.853885,150.611328,0.979974013,2.09944137
43,64,-46.4534402,-0.185427715,7.41000488,-140.595814,34.3821585,-1.06117036,-0.030218497,1.4459502,144.239808,149.801224,150.730733,0.992439649,2.08462046
44,64,-52.927533,-0.333163027,25.3667363,-134.561151,37.4203214,-1.31634584,0.0644082425,1.50443209,142.500552,149.675511,150.865839,0.987686208,2.18552213
45,64,-55.9976996,-0.741123014,14.6861045,-123.559757,38.6719185,-0.932932158,0.0396108067,1.45610479,140.427963,149.620536,150.880858,0.969784081,2.19864159
46,64,-59.4428376,-0.260116859,30.6714395,-119.706337,35.3438286,-0.89530191,0.0656683249,1.29333295,138.590081,149.538815,150.843958,1.00653875,2.28475515
47,64,-51.6444453,-0.0384547271,11.435488,-117.670382,21.6102096,-0.904536689,0.0790733703,1.4499785,137.488662,149.225839,150.677779,1.0421044,2.28577354
48,64,-61.3525209,-0.857355845,32.5209724,-109.436216,37.757699,-1.10232742,0.300115682,1.44763997,135.696507,148.776629,150.665033,0.984461997,2.3862001
49,64,-66.1934613,0.0402311415,16.6403428,-96.4189439,39.3767553,-1.02553047,0.379801247,1.36086294,134.056953,147.70425,150.61009,1.03097482,2.52392824
50,64,-62.3642528,-1.10844845,20.1960796,-81.2002765,40.4682327,-1.04844207,0.321555244,1.6481188,132.266254,145.481875,150.575129,1.02026116,2.34326636
51,64,-64.3809565,-3.05534583,14.7306803,-81.583599,30.6554017,-0.873788941,0.28509574,1.66500119,130.524837,143.290509,150.334582,1.07757742,2.35945283
52,64,-55.7136487,-3.73543991,6.08470311,-84.3621917,20.085648,-1.11198772,0.395042293,1.8375785,128.097131,141.718923,150.112334,1.02046658,2.42076326
53,64,-60.4715702,-2.11431812,7.70879532,-85.8246703,37.2621836,-1.18727444,0.332052091,1.57552333,125.744385,140.543312,150.08815,1.05843512,2.33673313
54,64,-46.6318493,-0.510473952,8.83997085,-78.6872366,19.0278787,-0.932015145,0.36499369,1.65047333,124.074886,138.421203,150.0938,1.05161654,2.31467959
55,64,-52.8662457,0.0271071555,10.341516,-72.2667762,14.2223673,-0.965302213,0.208452686,1.88226828,122.037471,135.880786,150.006534,1.16774001,2.3632736
56,64,-48.8342766,0.379097564,13.4970292,-62.6051132,15.8680255,-0.814527182,0.197915417,1.78199844,119.874312,133.959865,149.898959,1.23644492,2.39385095
57,64,-28.8078674,0.67841121,16.1537229,-53.1854133,24.9471839,-0.877180733,0.149702797,1.43416003,117.706263,131.995374,149.80285,1.22953113,2.45346022
