index,seed,ok,mass_kg,inertia_scale,cl_alpha,cm_alpha,wind_speed_mps,wind_direction_rad,w20_mps,density_scale,sensor_scale,init_altitude_offset_m,init_airspeed_offset_mps,init_yaw_offset_rad,simulated_time_s,rms_cross_track_m,max_cross_track_m,rms_altitude_error_m,max_altitude_error_m,rms_airspeed_error_mps,max_bank_deg,max_alpha_deg,laps_completed,waypoints_reached,estimator_position_rmse_m,estimator_velocity_rmse_mps,estimator_attitude_rmse_deg,estimator_yaw_rmse_deg,final_gyro_bias_error_radps,final_accel_bias_error_mps2,min_cov_eigenvalue,wall_clock_s
0,1.48943824e+19,1,13.2454991,1.06682157,4.70813245,-1.33735237,2.88173575,2.70564878,13.749399,1.06473257,0.899884926,-9.32935952,2.23000634,-0.381836659,299.996,9.69769819,41.6852354,1.08836528,3.34207916,0.82365937,40.0492181,11.8916193,2,12,1.71283254,0.418947778,2.0957434,1.88912164,0.00185727891,0.267893061,2.22278795e-06,2.3721996
1,1.45777758e+19,1,15.4702786,1.11193826,5.19873477,-1.03512077,6.20110442,0.442835366,11.7210578,1.02792771,1.35160064,-0.970386875,2.02578819,-0.283735653,299.996,15.1955043,65.1110268,0.982858857,3.64896775,0.833679405,40.8777125,14.4270618,2,12,2.2199621,0.362131221,2.21882541,1.47154102,0.00181322156,0.20014577,2.22189364e-06,2.30497517
2,7.82295175e+18,1,14.115044,1.03448415,5.44362674,-1.15717424,5.76406565,-0.991007747,4.57208438,0.967292606,1.09818373,4.09552079,-0.843363539,-0.0232789331,299.996,11.2218536,42.8662809,1.08062651,4.32897241,0.852311661,39.6602923,12.7855169,2,12,1.40523647,0.193946614,1.34699469,0.754441093,0.00112172429,0.196698611,2.22185231e-06,2.31742859
3,1.01641172e+19,1,12.8192095,0.950521631,4.23806109,-1.08598999,8.62694231,-1.03143201,2.92353545,1.00773211,0.848261508,1.78594538,-1.93060264,0.215713109,299.996,14.7785409,59.1984392,0.681050563,3.66728596,0.683442239,39.771529,11.9508444,2,11,0.932192119,0.129920991,0.940215466,0.815383258,0.000946214561,0.0201890141,2.22163229e-06,2.35452662
4,2.01920172e+17,1,15.3483795,1.03882514,5.86885156,-1.37623122,9.5169519,1.71023527,9.46756337,0.879866045,0.931763562,3.9257747,2.8355912,-0.145940567,299.996,28.0882861,109.971163,0.764482248,4.39411886,0.801675097,42.1332516,12.4919383,2,11,1.31910863,0.279985018,1.34271149,1.1752497,0.00191738236,0.217370856,2.22171197e-06,2.29210112
5,1.46839111e+19,1,14.642796,1.00010306,4.96036259,-1.36112711,1.52171933,1.8042067,8.4247431,1.08159943,0.697456713,-12.9428363,0.124199143,0.174052465,299.996,12.7995942,61.1021574,0.729418634,4.13304734,0.68742965,39.8343605,11.9165138,2,13,0.94024476,0.278440105,1.75541588,1.43783174,0.0017465678,0.173257707,2.22235711e-06,2.28823949
6,1.70688253e+19,1,13.0792478,0.997777655,4.93452517,-1.19306778,0,-1.15863203,5.38634287,1.09278773,1.03378711,3.48675831,2.15472871,0.125165217,299.996,9.76600495,41.4752776,0.739390464,3.39106575,0.696231447,39.3329976,9.98738623,2,12,1.59938462,0.176561012,0.796155097,0.669374161,0.00106078186,0.0323067441,2.22192795e-06,2.35592653
7,6.48046709e+18,1,13.9787413,0.908210935,4.38412437,-1.30267846,2.80643093,-1.98313668,5.80798395,1.04880882,1.54605845,0.286944583,0.199540668,0.322712957,299.996,14.0775088,57.7097344,1.85240464,5.69900006,0.70097647,41.6435583,12.5533128,2,13,2.77068848,0.257606153,1.8801008,1.29571082,0.00322415977,0.232955003,2.22274312e-06,2.33571038
8,4.29895717e+18,1,13.41162,1.03342094,5.0668482,-1.32097032,5.72992543,-2.95787732,5.23922495,0.954548103,1.06787517,8.89406329,-0.870025565,0.330372452,299.996,15.5168965,61.0478717,2.50396042,5.64082745,0.662470474,40.0841388,12.4566867,2,12,2.69326791,0.218102505,1.59335899,1.09037233,0.00101120428,0.183438933,2.22173402e-06,2.33064004
9,2.83302085e+18,1,12.3960492,1.06544879,3.88505774,-1.22368824,0,-2.03126575,7.46303664,0.990492368,1.53841469,0.504780369,0.348370005,-0.617283244,299.996,10.5003185,41.2396768,1.16418984,3.83833203,0.682606399,40.1708743,12.5803748,2,13,1.95145529,0.250434789,1.31021188,1.09007732,0.00209062789,0.13475443,2.22245347e-06,2.33517515
10,1.41436937e+19,1,14.4167771,1.00156314,4.72921514,-1.19115208,7.8956674,-2.07741819,0.657228922,0.936082604,2.16145139,-7.07012626,0.513883121,-0.557008184,299.996,11.5215776,41.8213777,0.946007926,4.59852341,0.70458474,42.6790511,14.839548,2,12,4.58462478,0.225133579,1.61151921,1.15688784,0.00113549545,0.133301625,2.2216642e-06,2.34080188
11,7.25418055e+18,1,13.7863486,1.02840934,5.80766575,-1.40164718,8.06891287,2.1642552,4.68353945,1.03677567,0.805452256,9.64829576,-1.71253452,0.0522624237,299.996,15.523901,55.5197339,0.915406596,3.90032356,0.618042013,40.2113388,9.74519444,2,12,1.04854846,0.163000488,1.14215134,0.907751991,0.00266346544,0.121692505,2.221709e-06,2.30747738
12,1.16842951e+19,1,15.0449241,1.03455746,5.38619306,-1.24825071,7.50479744,-0.0943077443,2.05592256,1.00778027,1.90547164,-13.6160503,0.496620874,0.481222527,299.996,14.7155295,59.7002244,2.31894013,6.27035388,0.634699145,41.1753592,12.2187532,2,11,2.81007423,0.215568343,1.80692323,0.908930832,0.00387065283,0.161755297,2.22166831e-06,2.29676978
13,5.580139e+18,1,13.5525814,1.04953504,3.9436027,-1.35577976,7.89606237,-0.759495053,11.0512373,0.990546474,1.65495528,21.0695979,-0.341325164,0.516172933,299.996,15.355191,69.4888066,1.20459439,5.15537916,0.818460188,41.2470354,14.8664557,2,12,3.48123978,0.400560643,1.93003487,1.32113839,0.00472453152,0.260865518,2.22192878e-06,2.2939433
14,1.53837332e+19,1,13.9841673,1.03639119,5.32665988,-1.42489116,6.37315133,0.883332564,2.56355253,0.970938102,1.42779059,17.8718827,-2.29379417,-0.204110946,299.996,11.720897,44.190819,1.20204513,5.36379441,0.592383115,43.3694531,11.0465527,2,12,2.08487493,0.213519438,3.24499552,1.30972082,0.00333381269,0.326748684,2.22164674e-06,2.29956959
15,1.16548474e+19,1,13.5907229,1.02067294,4.87621767,-1.17245414,8.96502547,1.08408999,0.5,0.937844401,0.924742768,-18.1547038,-0.522512776,0.026119818,299.996,27.8687799,119.846118,0.675833019,3.95495726,0.637295429,37.5145003,12.0858206,2,11,1.04448196,0.105529125,1.38161413,0.846067508,0.000892251003,0.189750538,2.22155751e-06,2.31366419
16,4.50526388e+18,1,14.5609666,0.937116838,5.40553796,-1.44927667,10.8565052,0.750185916,0.787572273,0.986942242,0.763121443,5.21683355,-0.718481274,-0.00204692492,299.996,45.8129309,186.396811,0.720177466,4.27257692,0.785215613,39.1026294,11.1504602,1,10,1.73077541,0.0830217921,0.671664525,0.453071742,0.00130769172,0.0760137577,2.22154329e-06,2.29281037
17,1.3645339e+19,1,14.3050028,0.927651953,4.26870976,-1.29174631,2.34276281,-2.99003799,11.7190719,1.03006566,1.42211011,-0.563708185,-1.20452298,0.295017573,299.996,10.3180547,43.1345681,1.22322768,5.74766957,0.80883021,40.6223808,13.1264158,2,12,4.00840685,0.410016227,2.39375376,1.90630956,0.0011109398,0.286621535,2.22243462e-06,2.29785585
